"ELEMENT","Axis_0","Axis_1","ENDW_CWE","ENDW_RICHNESS","ENDW_SINGLE","ENDW_WE","PD","PD_P","PD_P_per_taxon","PD_per_taxon","PE_WE","PE_WE_P","PHYLO_RPD1","PHYLO_RPD2","PHYLO_RPD_DIFF1","PHYLO_RPD_DIFF2","PHYLO_RPD_NULL1","PHYLO_RPD_NULL2","PHYLO_RPE1","PHYLO_RPE2","PHYLO_RPE_DIFF1","PHYLO_RPE_DIFF2","PHYLO_RPE_NULL1","PHYLO_RPE_NULL2","ELEMENT.1","Axis_0.1","Axis_1.1","C_ENDW_CWE","C_ENDW_RICHNESS","C_ENDW_SINGLE","C_ENDW_WE","C_PD","C_PD_P","C_PD_P_per_taxon","C_PD_per_taxon","C_PE_WE","C_PE_WE_P","C_PHYLO_RPD1","C_PHYLO_RPD2","C_PHYLO_RPD_DIFF1","C_PHYLO_RPD_DIFF2","C_PHYLO_RPD_NULL1","C_PHYLO_RPD_NULL2","C_PHYLO_RPE1","C_PHYLO_RPE2","C_PHYLO_RPE_DIFF1","C_PHYLO_RPE_DIFF2","C_PHYLO_RPE_NULL1","C_PHYLO_RPE_NULL2","P_ENDW_CWE","P_ENDW_RICHNESS","P_ENDW_SINGLE","P_ENDW_WE","P_PD","P_PD_P","P_PD_P_per_taxon","P_PD_per_taxon","P_PE_WE","P_PE_WE_P","P_PHYLO_RPD1","P_PHYLO_RPD2","P_PHYLO_RPD_DIFF1","P_PHYLO_RPD_DIFF2","P_PHYLO_RPD_NULL1","P_PHYLO_RPD_NULL2","P_PHYLO_RPE1","P_PHYLO_RPE2","P_PHYLO_RPE_DIFF1","P_PHYLO_RPE_DIFF2","P_PHYLO_RPE_NULL1","P_PHYLO_RPE_NULL2","Q_ENDW_CWE","Q_ENDW_RICHNESS","Q_ENDW_SINGLE","Q_ENDW_WE","Q_PD","Q_PD_P","Q_PD_P_per_taxon","Q_PD_per_taxon","Q_PE_WE","Q_PE_WE_P","Q_PHYLO_RPD1","Q_PHYLO_RPD2","Q_PHYLO_RPD_DIFF1","Q_PHYLO_RPD_DIFF2","Q_PHYLO_RPD_NULL1","Q_PHYLO_RPD_NULL2","Q_PHYLO_RPE1","Q_PHYLO_RPE2","Q_PHYLO_RPE_DIFF1","Q_PHYLO_RPE_DIFF2","Q_PHYLO_RPE_NULL1","Q_PHYLO_RPE_NULL2","T_ENDW_CWE","T_ENDW_RICHNESS","T_ENDW_SINGLE","T_ENDW_WE","T_PD","T_PD_P","T_PD_P_per_taxon","T_PD_per_taxon","T_PE_WE_P","T_PHYLO_RPD1","T_PHYLO_RPD2","T_PHYLO_RPD_DIFF1","T_PHYLO_RPD_DIFF2","T_PHYLO_RPD_NULL1","T_PHYLO_RPD_NULL2","T_PHYLO_RPE_NULL1","T_PHYLO_RPE_NULL2","P_PHYLO_RPD1_SIG","P_PHYLO_RPD2_SIG","P_PD_P_SIG","P_PE_WE_P_SIG","P_PD_P_per_taxon_SIG","P_PHYLO_RPE2_SIG","P_PHYLO_RPE1_CANAPE_SIG","P_PHYLO_RPE2_CANAPE_SIG","SP_P"
"1010000:7730000",1010000,7730000,0.00462044584816336,267,1.23365904145962,1.23365904145962,32.35609,0.414190127614524,0.00155127388619672,0.121183857677903,0.0532798311606747,0.000682034821504086,1.92047707111154,1.03338766718341,15.5081460767368,1.0453911911113,0.215670436187399,0.400808080808081,0.684434743025144,0.728870906558237,-0.024565181389656,-0.0198193015955833,0.000996493571453648,0.000935741590681245,"'1010000:7730000'",1010000,7730000,994,0,994,994,0,0,0,0,15,15,0,22,0,17,0,0,0,1,1,1,994,980,0.994994994994995,0,0.994994994994995,0.994994994994995,0,0,0,0,0.015015015015015,0.015015015015015,0,0.022022022022022,0,0.017017017017017,0,0,0,0.001001001001001,0.001001001001001,0.001001001001001,0.994994994994995,0.980980980980981,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Very Sig Low","Sig Low","Very Sig Low","Sig Low","Very Sig Low","Very Sig Low","Neo","Neo",0.215670436187399
"1010000:7750000",1010000,7750000,0.00463235907067954,146,0.676324424319213,0.676324424319213,25.027923,0.320382302722501,0.00219439933371576,0.171424130136987,0.043210391656912,0.000553135982581639,2.71666637514011,1.08030817334903,15.81518961874,1.86053093777793,0.117932148626817,0.296565656565657,1.0125057173935,0.934723972854534,0.000533702612479806,-0.00301757821632521,0.000546304058416166,0.0005917639844974,"'1010000:7750000'",1010000,7750000,997,0,997,997,75,75,75,75,840,840,75,72,75,71,0,502,5,77,6,62,997,997,0.997997997997998,0,0.997997997997998,0.997997997997998,0.0750750750750751,0.0750750750750751,0.0750750750750751,0.0750750750750751,0.840840840840841,0.840840840840841,0.0750750750750751,0.0720720720720721,0.0750750750750751,0.0710710710710711,0,0.502502502502503,0.00500500500500501,0.0770770770770771,0.00600600600600601,0.0620620620620621,0.997997997997998,0.997997997997998,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,30,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Neo","Mixed",0.117932148626817
"1010000:7770000",1010000,7770000,0.00296452564126403,138,0.409104538494436,0.409104538494436,22.541449,0.288552962917531,0.0020909634994024,0.163343833333334,0.029886602633516,0.000382578233610443,2.58861281226017,1.10041384163465,13.8335229273022,2.0569293155557,0.111470113085622,0.262222222222222,1.15772818104821,0.898022935731782,0.00407173250877159,-0.00339384204595307,0.000330456008476927,0.00042602278671055,"'1010000:7770000'",1010000,7770000,805,0,805,805,3,3,3,3,7,7,3,127,3,94,0,0,18,24,14,32,805,396,0.805805805805806,0,0.805805805805806,0.805805805805806,0.003003003003003,0.003003003003003,0.003003003003003,0.003003003003003,0.00700700700700701,0.00700700700700701,0.003003003003003,0.127127127127127,0.003003003003003,0.0940940940940941,0,0,0.018018018018018,0.024024024024024,0.014014014014014,0.032032032032032,0.805805805805806,0.396396396396396,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Very Sig Low","Not Sig","Very Sig Low","Very Sig Low","Very Sig Low","Sig Low","Not Sig","Not Sig",0.111470113085622
"1010000:7810000",1010000,7810000,0.00515205791720369,24,0.123649390012888,0.123649390012888,10.022473,0.12829762096975,0.00534573420707292,0.417603041666667,0.0131941374324249,0.000168898079678342,6.61801894835627,1.41127383066725,8.50805107431342,2.92075200000004,0.0193861066235864,0.0909090909090909,1.6910380441019,1.19002394245661,0.00539174796020445,0.00210685005803164,9.98783441138033e-05,0.000141928303837047,"'1010000:7810000'",1010000,7810000,999,0,999,999,692,692,692,692,987,987,692,601,692,632,0,648,0,228,27,398,999,999,1,0,1,1,0.692692692692693,0.692692692692693,0.692692692692693,0.692692692692693,0.987987987987988,0.987987987987988,0.692692692692693,0.601601601601602,0.692692692692693,0.632632632632633,0,0.648648648648649,0,0.228228228228228,0.027027027027027,0.398398398398398,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,21,NA,NA,"Not Sig","Not Sig","Not Sig","Highly Sig","Not Sig","Not Sig","Neo","Mixed",0.0193861066235864
"1010000:7830000",1010000,7830000,0.00311993563771329,320,0.998379404068252,0.998379404068252,37.2679360000001,0.477066640863279,0.00149083325269775,0.1164623,0.0595914532448218,0.00076282986059835,1.84565156683981,1.03031408039844,17.0756436575123,1.09650370666693,0.258481421647819,0.463030303030303,0.945916315553518,0.834615036908933,-0.00340719924163087,-0.0118084743978957,0.000806445399085825,0.000913990075500622,"'1010000:7830000'",1010000,7830000,224,0,224,224,1,1,1,1,1,1,1,16,1,14,0,23,108,23,119,40,224,261,0.224224224224224,0,0.224224224224224,0.224224224224224,0.001001001001001,0.001001001001001,0.001001001001001,0.001001001001001,0.001001001001001,0.001001001001001,0.001001001001001,0.016016016016016,0.001001001001001,0.014014014014014,0,0.023023023023023,0.108108108108108,0.023023023023023,0.119119119119119,0.04004004004004,0.224224224224224,0.261261261261261,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,6,NA,NA,"Very Sig Low","Sig Low","Very Sig Low","Very Sig Low","Very Sig Low","Sig Low","Not Sig","Not Sig",0.258481421647819
"1010000:7850000",1010000,7850000,0.00317199811836318,295,0.935739444917138,0.935739444917138,35.744855,0.457569689477704,0.00155108369314476,0.121169,0.058394153516769,0.000747503233457833,1.92024161211321,1.04956902822736,17.1300854967691,1.68815740444464,0.238287560581583,0.435959595959596,0.988960129924569,0.890474972458088,-0.000651860321243762,-0.0071822583116021,0.000755847693794134,0.000839443282043522,"'1010000:7850000'",1010000,7850000,415,0,415,415,7,7,7,7,18,18,7,70,7,60,0,2,103,78,106,96,415,247,0.415415415415415,0,0.415415415415415,0.415415415415415,0.00700700700700701,0.00700700700700701,0.00700700700700701,0.00700700700700701,0.018018018018018,0.018018018018018,0.00700700700700701,0.0700700700700701,0.00700700700700701,0.0600600600600601,0,0.002002002002002,0.103103103103103,0.0780780780780781,0.106106106106106,0.0960960960960961,0.415415415415415,0.247247247247247,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,1,NA,NA,"Very Sig Low","Not Sig","Very Sig Low","Sig Low","Very Sig Low","Not Sig","Not Sig","Not Sig",0.238287560581583
"1010000:7870000",1010000,7870000,0.00300943610810986,240,0.722264665946365,0.722264665946365,33.413021,0.427719895450184,0.00178216623104243,0.139220920833333,0.0519576382616065,0.000665109437578027,2.20632179403053,1.10732922723766,18.2688017431341,3.23859755111124,0.193861066235864,0.386262626262626,1.14003290281785,0.973161721002545,0.00638207800086187,-0.00143291044193279,0.000583412492686885,0.000683452116152735,"'1010000:7870000'",1010000,7870000,468,0,468,468,92,92,92,92,110,110,92,381,92,345,0,8,203,275,182,277,468,191,0.468468468468468,0,0.468468468468468,0.468468468468468,0.0920920920920921,0.0920920920920921,0.0920920920920921,0.0920920920920921,0.11011011011011,0.11011011011011,0.0920920920920921,0.381381381381381,0.0920920920920921,0.345345345345345,0,0.00800800800800801,0.203203203203203,0.275275275275275,0.182182182182182,0.277277277277277,0.468468468468468,0.191191191191191,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,2,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.193861066235864
"1030000:7690000",1030000,7690000,0.0104800802056649,27,0.282962165552952,0.282962165552952,7.175786,0.0918571965609724,0.00340211839114713,0.265769851851852,0.0176151091880759,0.000225490914463179,4.21182256824014,1.0015267025921,5.4720613336026,0.0109385911111503,0.0218093699515347,0.0917171717171717,0.986555045477187,0.991960197769576,-0.000240061964138568,-0.000142769835380379,0.000228563946327101,0.000227318510329543,"'1030000:7690000'",1030000,7690000,999,0,999,999,5,5,5,5,999,999,5,16,5,16,0,242,0,19,0,18,999,999,1,0,1,1,0.00500500500500501,0.00500500500500501,0.00500500500500501,0.00500500500500501,1,1,0.00500500500500501,0.016016016016016,0.00500500500500501,0.016016016016016,0,0.242242242242242,0,0.019019019019019,0,0.018018018018018,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,17,NA,NA,"Very Sig Low","Sig Low","Very Sig Low","Very Highly Sig","Very Sig Low","Sig Low","Neo","Neo",0.0218093699515347
"1030000:7710000",1030000,7710000,0.00670582854545656,37,0.248115656181893,0.248115656181893,8.027157,0.102755591983204,0.00277717816170821,0.216950189189189,0.01157172811023,0.000148129626994384,3.43814656419476,0.974406475702793,5.69242319789985,-0.210839359999958,0.0298869143780291,0.105454545454545,0.739108853673504,0.653992067659965,-0.00408459646593552,-0.00612226036830698,0.000200416523571804,0.000226500647820399,"'1030000:7710000'",1030000,7710000,999,0,999,999,0,0,0,0,104,104,0,4,0,5,0,12,0,0,0,0,999,999,1,0,1,1,0,0,0,0,0.104104104104104,0.104104104104104,0,0.004004004004004,0,0.00500500500500501,0,0.012012012012012,0,0,0,0,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,1,NA,NA,"Very Sig Low","Very Sig Low","Very Sig Low","Not Sig","Very Sig Low","Very Sig Low","Neo","Neo",0.0298869143780291
"1030000:7730000",1030000,7730000,0.00386351345890417,168,0.6490702610959,0.6490702610959,24.169388,0.309392200976228,0.00184162024390612,0.143865404761905,0.0393145547927979,0.000503265396614273,2.27992586195578,1.06353569085579,13.5684345201939,1.44388080000012,0.135702746365105,0.290909090909091,0.959900026780638,0.928758354798276,-0.00164237165364994,-0.00301567522848349,0.000524289386991842,0.000541869038393287,"'1030000:7730000'",1030000,7730000,968,0,968,968,0,0,0,0,156,156,0,49,0,42,0,0,8,71,10,77,968,703,0.968968968968969,0,0.968968968968969,0.968968968968969,0,0,0,0,0.156156156156156,0.156156156156156,0,0.049049049049049,0,0.042042042042042,0,0,0.00800800800800801,0.0710710710710711,0.01001001001001,0.0770770770770771,0.968968968968969,0.703703703703704,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Very Sig Low","Not Sig","Very Sig Low","Not Sig","Very Sig Low","Not Sig","Neo","Not Sig",0.135702746365105
