"ELEMENT","Axis_0","Axis_1","ENDW_CWE","ENDW_RICHNESS","ENDW_SINGLE","ENDW_WE","PD","PD_P","PD_P_per_taxon","PD_per_taxon","PE_WE","PE_WE_P","PHYLO_RPD1","PHYLO_RPD2","PHYLO_RPD_DIFF1","PHYLO_RPD_DIFF2","PHYLO_RPD_NULL1","PHYLO_RPD_NULL2","PHYLO_RPE1","PHYLO_RPE2","PHYLO_RPE_DIFF1","PHYLO_RPE_DIFF2","PHYLO_RPE_NULL1","PHYLO_RPE_NULL2","ELEMENT.1","Axis_0.1","Axis_1.1","C_ENDW_CWE","C_ENDW_RICHNESS","C_ENDW_SINGLE","C_ENDW_WE","C_PD","C_PD_P","C_PD_P_per_taxon","C_PD_per_taxon","C_PE_WE","C_PE_WE_P","C_PHYLO_RPD1","C_PHYLO_RPD2","C_PHYLO_RPD_DIFF1","C_PHYLO_RPD_DIFF2","C_PHYLO_RPD_NULL1","C_PHYLO_RPD_NULL2","C_PHYLO_RPE1","C_PHYLO_RPE2","C_PHYLO_RPE_DIFF1","C_PHYLO_RPE_DIFF2","C_PHYLO_RPE_NULL1","C_PHYLO_RPE_NULL2","P_ENDW_CWE","P_ENDW_RICHNESS","P_ENDW_SINGLE","P_ENDW_WE","P_PD","P_PD_P","P_PD_P_per_taxon","P_PD_per_taxon","P_PE_WE","P_PE_WE_P","P_PHYLO_RPD1","P_PHYLO_RPD2","P_PHYLO_RPD_DIFF1","P_PHYLO_RPD_DIFF2","P_PHYLO_RPD_NULL1","P_PHYLO_RPD_NULL2","P_PHYLO_RPE1","P_PHYLO_RPE2","P_PHYLO_RPE_DIFF1","P_PHYLO_RPE_DIFF2","P_PHYLO_RPE_NULL1","P_PHYLO_RPE_NULL2","Q_ENDW_CWE","Q_ENDW_RICHNESS","Q_ENDW_SINGLE","Q_ENDW_WE","Q_PD","Q_PD_P","Q_PD_P_per_taxon","Q_PD_per_taxon","Q_PE_WE","Q_PE_WE_P","Q_PHYLO_RPD1","Q_PHYLO_RPD2","Q_PHYLO_RPD_DIFF1","Q_PHYLO_RPD_DIFF2","Q_PHYLO_RPD_NULL1","Q_PHYLO_RPD_NULL2","Q_PHYLO_RPE1","Q_PHYLO_RPE2","Q_PHYLO_RPE_DIFF1","Q_PHYLO_RPE_DIFF2","Q_PHYLO_RPE_NULL1","Q_PHYLO_RPE_NULL2","T_ENDW_CWE","T_ENDW_RICHNESS","T_ENDW_SINGLE","T_ENDW_WE","T_PD","T_PD_P","T_PD_P_per_taxon","T_PD_per_taxon","T_PE_WE_P","T_PHYLO_RPD1","T_PHYLO_RPD2","T_PHYLO_RPD_DIFF1","T_PHYLO_RPD_DIFF2","T_PHYLO_RPD_NULL1","T_PHYLO_RPD_NULL2","T_PHYLO_RPE_NULL1","T_PHYLO_RPE_NULL2","P_PHYLO_RPD1_SIG","P_PHYLO_RPD2_SIG","P_PD_P_SIG","P_PE_WE_P_SIG","P_PD_P_per_taxon_SIG","P_PHYLO_RPE2_SIG","P_PHYLO_RPE1_CANAPE_SIG","P_PHYLO_RPE2_CANAPE_SIG","SP_P"
"350000:6650000",350000,6650000,0.00245296023607361,305,0.748152872002451,0.748152872002451,39.424501,0.504672817399411,0.00165466497508004,0.129260659016393,0.0615287311586959,0.000787628944368122,2.04847523914908,1.10929415902624,20.1787223610663,3.88433279555573,0.246365105008078,0.454949494949495,1.30332271600842,1.03309420582339,0.0143196014451168,0.00197101530677467,0.000604323806140913,0.000762397988420009,"'350000:6650000'",350000,6650000,0,0,0,0,419,419,419,419,38,38,419,622,419,600,0,125,899,631,812,606,0,0,0,0,0,0,0.419419419419419,0.419419419419419,0.419419419419419,0.419419419419419,0.038038038038038,0.038038038038038,0.419419419419419,0.622622622622623,0.419419419419419,0.600600600600601,0,0.125125125125125,0.8998998998999,0.631631631631632,0.812812812812813,0.606606606606607,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,16,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.246365105008078
"350000:6670000",350000,6670000,0.0027658302256434,320,0.885065672205887,0.885065672205887,40.210849,0.514738853761327,0.00160855891800415,0.125658903125,0.0777106862075179,0.000994774060688545,1.99139594048913,1.13444226452296,20.0185566575122,4.76537040888905,0.258481421647819,0.453737373737374,1.39145639222796,1.20677007201332,0.0218622337216374,0.013315083424737,0.000714915728760813,0.000824327752037226,"'350000:6670000'",350000,6670000,14,0,14,14,347,347,347,347,708,708,347,894,347,861,0,0,963,939,944,931,14,3,0.014014014014014,0,0.014014014014014,0.014014014014014,0.347347347347347,0.347347347347347,0.347347347347347,0.347347347347347,0.708708708708709,0.708708708708709,0.347347347347347,0.894894894894895,0.347347347347347,0.861861861861862,0,0,0.963963963963964,0.93993993993994,0.944944944944945,0.931931931931932,0.014014014014014,0.003003003003003,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.258481421647819
"350000:6690000",350000,6690000,0.00476436302802823,515,2.45364695943454,2.45364695943454,55.010587,0.704190217349496,0.00136735964533883,0.106816673786408,0.220479429788607,0.00282235595093599,1.69279124092947,1.14738037389072,22.5136165113087,7.06607944888912,0.415993537964459,0.613737373737374,1.42403398900712,1.61325669388034,0.0656520650693612,0.0838121339856733,0.00198194423217653,0.00174947729127187,"'350000:6690000'",350000,6690000,445,0,445,445,998,998,998,998,983,983,998,999,998,999,0,44,987,986,987,986,445,507,0.445445445445445,0,0.445445445445445,0.445445445445445,0.998998998998999,0.998998998998999,0.998998998998999,0.998998998998999,0.983983983983984,0.983983983983984,0.998998998998999,1,0.998998998998999,1,0,0.044044044044044,0.987987987987988,0.986986986986987,0.987987987987988,0.986986986986987,0.445445445445445,0.507507507507508,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,7,NA,NA,"Very Highly Sig","Very Highly Sig","Very Highly Sig","Highly Sig","Very Highly Sig","Highly Sig","Palaeo","Palaeo",0.415993537964459
"350000:6710000",350000,6710000,0.00280496156894113,412,1.15564416640375,1.15564416640375,46.1689009999999,0.591007844180563,0.00143448505869069,0.112060439320388,0.0856685509878369,0.00109664264335411,1.77589250265907,1.09898152843493,20.1713246090469,4.15827588444457,0.332794830371567,0.537777777777778,1.17479379201752,1.05550705968891,0.0127463483256024,0.00450514217739625,0.000933476709534528,0.00103897234347,"'350000:6710000'",350000,6710000,0,0,0,0,480,480,480,480,60,60,480,810,480,787,0,12,941,785,907,763,0,0,0,0,0,0,0.48048048048048,0.48048048048048,0.48048048048048,0.48048048048048,0.0600600600600601,0.0600600600600601,0.48048048048048,0.810810810810811,0.48048048048048,0.787787787787788,0,0.012012012012012,0.941941941941942,0.785785785785786,0.907907907907908,0.763763763763764,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,6,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.332794830371567
"350000:6730000",350000,6730000,0.00265080770238709,406,1.07622792716916,1.07622792716916,45.8557449999999,0.586999135971281,0.00144581067973222,0.112945184729064,0.0898789479444609,0.00115053991131114,1.78991362150849,1.09152731895486,20.2367740904685,3.84511988444455,0.32794830371567,0.537777777777778,1.32348211214864,1.1385129164658,0.0219679825302441,0.0109347860956296,0.000869327889474282,0.00101056377549293,"'350000:6730000'",350000,6730000,0,0,0,0,520,520,520,520,231,231,520,725,520,710,0,92,980,887,942,863,0,0,0,0,0,0,0.520520520520521,0.520520520520521,0.520520520520521,0.520520520520521,0.231231231231231,0.231231231231231,0.520520520520521,0.725725725725726,0.520520520520521,0.710710710710711,0,0.0920920920920921,0.980980980980981,0.887887887887888,0.942942942942943,0.863863863863864,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,10,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.32794830371567
"350000:6750000",350000,6750000,0.00189155498152074,143,0.270492362357466,0.270492362357466,25.101817,0.321328219404335,0.002247050485345,0.175537181818182,0.0326272754414718,0.000417661570938188,2.78184850085711,1.14925916622215,16.0783863594508,3.26007952444455,0.115508885298869,0.27959595959596,1.91156977710948,1.08704759236263,0.015558960262934,0.00261269680599695,0.000218491407396984,0.000384216453697696,"'350000:6750000'",350000,6750000,4,0,4,4,120,120,120,120,45,45,120,385,120,347,0,26,897,581,643,532,4,5,0.004004004004004,0,0.004004004004004,0.004004004004004,0.12012012012012,0.12012012012012,0.12012012012012,0.12012012012012,0.045045045045045,0.045045045045045,0.12012012012012,0.385385385385385,0.12012012012012,0.347347347347347,0,0.026026026026026,0.897897897897898,0.581581581581582,0.643643643643644,0.532532532532533,0.004004004004004,0.00500500500500501,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,6,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.115508885298869
"350000:6770000",350000,6770000,0.00233894197842822,205,0.479483105577786,0.479483105577786,32.21985,0.412446120134442,0.00201193229333874,0.15717,0.0490501631335672,0.000627890864681282,2.49077217915336,1.18148628163512,19.2841627180938,4.94924136000014,0.165589660743134,0.349090909090909,1.6211809789184,1.13853862000216,0.0187943411300966,0.00596847730241448,0.000387304608705805,0.000551488420023988,"'350000:6770000'",350000,6770000,20,0,20,20,438,438,438,438,360,360,438,822,438,786,0,8,928,825,850,793,20,23,0.02002002002002,0,0.02002002002002,0.02002002002002,0.438438438438438,0.438438438438438,0.438438438438438,0.438438438438438,0.36036036036036,0.36036036036036,0.438438438438438,0.822822822822823,0.438438438438438,0.786786786786787,0,0.00800800800800801,0.928928928928929,0.825825825825826,0.850850850850851,0.793793793793794,0.02002002002002,0.023023023023023,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,1,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.165589660743134
"350000:6810000",350000,6810000,0.00254100658274781,147,0.373527967663929,0.373527967663929,26.297978,0.3366402696934,0.00229006986185987,0.17889780952381,0.0400857963954882,0.000513138056068489,2.83510648898251,1.17515467911307,17.0221437051697,3.919666048889,0.118739903069467,0.286464646464646,1.7007157921421,1.11412895054782,0.0165158403918464,0.00410630194309306,0.000301718875334353,0.000460573307799044,"'350000:6810000'",350000,6810000,422,0,422,422,245,245,245,245,667,667,245,569,245,532,0,59,666,658,721,657,422,504,0.422422422422422,0,0.422422422422422,0.422422422422422,0.245245245245245,0.245245245245245,0.245245245245245,0.245245245245245,0.667667667667668,0.667667667667668,0.245245245245245,0.56956956956957,0.245245245245245,0.532532532532533,0,0.0590590590590591,0.666666666666667,0.658658658658659,0.721721721721722,0.657657657657658,0.422422422422422,0.504504504504504,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,5,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.118739903069467
"350000:6830000",350000,6830000,0.00231656252602925,334,0.77373188369377,0.77373188369377,42.1366220000001,0.539390663192771,0.00161494210536758,0.126157550898204,0.0667004704602659,0.000853832350320645,1.99929832644506,1.11808366114079,21.0609168675285,4.45015589333361,0.269789983844911,0.482424242424242,1.36616374738322,1.05475556590167,0.0178772817407399,0.00346262406573534,0.000624985366473158,0.000809507318968957,"'350000:6830000'",350000,6830000,0,0,0,0,682,682,682,682,32,32,682,793,682,785,0,218,958,721,903,700,0,0,0,0,0,0,0.682682682682683,0.682682682682683,0.682682682682683,0.682682682682683,0.032032032032032,0.032032032032032,0.682682682682683,0.793793793793794,0.682682682682683,0.785785785785786,0,0.218218218218218,0.958958958958959,0.721721721721722,0.903903903903904,0.700700700700701,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,23,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.269789983844911
"350000:6850000",350000,6850000,0.00287824706146577,322,0.926795553791977,0.926795553791977,41.357319,0.529414809836558,0.00164414537216322,0.128438878881987,0.0737391954138903,0.000943935029191461,2.03545197073807,1.16264565602971,21.0388248303716,5.78558759111125,0.260096930533118,0.455353535353535,1.26089466156559,1.13175128751269,0.0152575492767483,0.00858424818520089,0.000748623226003212,0.000834048116053838,"'350000:6850000'",350000,6850000,42,0,42,42,684,684,684,684,468,468,684,986,684,979,0,0,886,889,853,866,42,4,0.042042042042042,0,0.042042042042042,0.042042042042042,0.684684684684685,0.684684684684685,0.684684684684685,0.684684684684685,0.468468468468468,0.468468468468468,0.684684684684685,0.986986986986987,0.684684684684685,0.97997997997998,0,0,0.886886886886887,0.88988988988989,0.853853853853854,0.866866866866867,0.042042042042042,0.004004004004004,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Not Sig","Highly Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.260096930533118
"350000:6870000",350000,6870000,0.00365972083831587,458,1.67615214394867,1.67615214394867,49.0739969999999,0.628195961872548,0.00137160690365185,0.107148465065502,0.0963466252552178,0.0012333326124908,1.69804934672099,1.09801200962892,20.1737785848143,4.38049950666683,0.369951534733441,0.572121212121212,0.910935072198533,0.937718028153697,-0.00942010631071712,-0.00639921343247149,0.00135391934083091,0.0013152489079464,"'350000:6870000'",350000,6870000,72,0,72,72,636,636,636,636,107,107,636,901,636,889,0,14,633,490,662,512,72,62,0.0720720720720721,0,0.0720720720720721,0.0720720720720721,0.636636636636637,0.636636636636637,0.636636636636637,0.636636636636637,0.107107107107107,0.107107107107107,0.636636636636637,0.901901901901902,0.636636636636637,0.88988988988989,0,0.014014014014014,0.633633633633634,0.49049049049049,0.662662662662663,0.512512512512513,0.0720720720720721,0.0620620620620621,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,6,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.369951534733441
"350000:6890000",350000,6890000,0.00307699243750795,369,1.13541020944043,1.13541020944043,44.6071299999999,0.571015622320794,0.00154746781116746,0.120886531165311,0.084782759004861,0.0010853036251208,1.91576515022532,1.13151614511126,21.3228928925687,5.184687648889,0.298061389337641,0.504646464646465,1.18336604403242,1.07241221981833,0.0131373375121533,0.00572476485106155,0.000917132640905033,0.00101202094219389,"'350000:6890000'",350000,6890000,23,0,23,23,822,822,822,822,493,493,822,959,822,953,0,30,905,825,888,817,23,43,0.023023023023023,0,0.023023023023023,0.023023023023023,0.822822822822823,0.822822822822823,0.822822822822823,0.822822822822823,0.493493493493493,0.493493493493493,0.822822822822823,0.95995995995996,0.822822822822823,0.953953953953954,0,0.03003003003003,0.905905905905906,0.825825825825826,0.888888888888889,0.817817817817818,0.023023023023023,0.043043043043043,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,7,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.298061389337641
"350000:6910000",350000,6910000,0.00280887354297267,339,0.952208131067736,0.952208131067736,42.4162809999999,0.542970576491889,0.00160168311649525,0.125121772861357,0.0827260538007633,0.00105897575327501,1.98288369822112,1.13982372927687,21.0250712996769,5.2032629600001,0.273828756058158,0.476363636363636,1.37681242133943,1.15028846506983,0.0226408508213456,0.0108083946110391,0.000769150348196879,0.000920617554146056,"'350000:6910000'",350000,6910000,7,0,7,7,699,699,699,699,675,675,699,936,699,917,0,7,965,901,943,885,7,31,0.00700700700700701,0,0.00700700700700701,0.00700700700700701,0.6996996996997,0.6996996996997,0.6996996996997,0.6996996996997,0.675675675675676,0.675675675675676,0.6996996996997,0.936936936936937,0.6996996996997,0.917917917917918,0,0.00700700700700701,0.965965965965966,0.901901901901902,0.943943943943944,0.885885885885886,0.00700700700700701,0.031031031031031,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,2,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.273828756058158
"350000:6930000",350000,6930000,0.00423827341279972,450,1.90722303575987,1.90722303575987,51.2660219999998,0.656256061670891,0.00145834680371309,0.113924493333333,0.118410319002239,0.00151576983307976,1.80543334299681,1.13424144737113,22.8706108933764,6.06751323555563,0.363489499192246,0.578585858585859,0.983903307672192,0.993260291109365,-0.00193719693648158,-0.000803466208068165,0.00154056788025838,0.00152605499952767,"'350000:6930000'",350000,6930000,385,0,385,385,997,997,997,997,754,754,997,996,997,996,0,636,808,687,807,686,385,614,0.385385385385385,0,0.385385385385385,0.385385385385385,0.997997997997998,0.997997997997998,0.997997997997998,0.997997997997998,0.754754754754755,0.754754754754755,0.997997997997998,0.996996996996997,0.997997997997998,0.996996996996997,0,0.636636636636637,0.808808808808809,0.687687687687688,0.807807807807808,0.686686686686687,0.385385385385385,0.614614614614615,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,32,NA,NA,"Very Highly Sig","Very Highly Sig","Very Highly Sig","Not Sig","Very Highly Sig","Not Sig","Not Sig","Not Sig",0.363489499192246
"350000:6950000",350000,6950000,0.00415416364219516,373,1.54950303853879,1.54950303853879,45.3432849999999,0.580439138369676,0.0015561371001868,0.121563766756032,0.103785091041554,0.00132855237153149,1.92649773003126,1.13384914559191,21.8066442382876,5.352704968889,0.301292407108239,0.511919191919192,1.06146796427518,1.06736816311441,0.00601003372984022,0.00655051479306817,0.00125161796327851,0.00124469926820282,"'350000:6950000'",350000,6950000,854,0,854,854,915,915,915,915,890,890,915,967,915,965,0,95,679,811,719,824,854,885,0.854854854854855,0,0.854854854854855,0.854854854854855,0.915915915915916,0.915915915915916,0.915915915915916,0.915915915915916,0.890890890890891,0.890890890890891,0.915915915915916,0.967967967967968,0.915915915915916,0.965965965965966,0,0.0950950950950951,0.67967967967968,0.811811811811812,0.71971971971972,0.824824824824825,0.854854854854855,0.885885885885886,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,14,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.301292407108239
"370000:6430000",370000,6430000,0.0139706687168639,518,7.23680639533548,7.23680639533548,54.064704,0.692081974342432,0.00133606558753365,0.104372015444015,0.342417636191093,0.00438328625094851,1.65404919736666,1.11011204568861,21.3784307705979,5.36267954222241,0.418416801292407,0.623434343434343,0.749848494243528,1.08580631715727,-0.11423145868578,0.0270597028466172,0.00584556251642608,0.0040368951457423,"'370000:6430000'",370000,6430000,999,0,999,999,995,995,995,995,995,995,995,993,995,993,0,462,337,843,14,921,999,999,1,0,1,1,0.995995995995996,0.995995995995996,0.995995995995996,0.995995995995996,0.995995995995996,0.995995995995996,0.995995995995996,0.993993993993994,0.995995995995996,0.993993993993994,0,0.462462462462462,0.337337337337337,0.843843843843844,0.014014014014014,0.921921921921922,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,35,NA,NA,"Very Highly Sig","Very Highly Sig","Very Highly Sig","Very Highly Sig","Very Highly Sig","Not Sig","Super","Super",0.418416801292407
"370000:6450000",370000,6450000,0.0065164060607461,544,3.54492489704588,3.54492489704588,56.2248169999998,0.719733568806774,0.00132303964854186,0.103354443014706,0.213395337597875,0.00273167252631601,1.63792308489483,1.12957551223638,21.8979200177706,6.4496435911112,0.439418416801292,0.637171717171717,0.953986526032588,1.13863066187753,-0.01029266194373,0.025981328171851,0.00286342883444739,0.00239908568930654,"'370000:6450000'",370000,6450000,888,0,888,888,999,999,999,999,975,975,999,999,999,999,0,218,885,891,868,915,888,954,0.888888888888889,0,0.888888888888889,0.888888888888889,1,1,1,1,0.975975975975976,0.975975975975976,1,1,1,1,0,0.218218218218218,0.885885885885886,0.891891891891892,0.868868868868869,0.915915915915916,0.888888888888889,0.954954954954955,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,32,NA,NA,"Very Highly Sig","Very Highly Sig","Very Highly Sig","Highly Sig","Very Highly Sig","Not Sig","Mixed","Mixed",0.439418416801292
"370000:6470000",370000,6470000,0.00438311827995299,449,1.96802010769889,1.96802010769889,50.2940509999999,0.643813866321343,0.00143388388935711,0.112013476614699,0.131565320419066,0.00168416693284073,1.7751482550241,1.13090086525573,21.9617408069468,5.82149593777793,0.362681744749596,0.569292929292929,1.05943971542786,1.08663519703543,0.00738145369859618,0.0104894333338663,0.0015896769852172,0.00154989175524177,"'370000:6470000'",370000,6470000,429,0,429,429,985,985,985,985,845,845,985,997,985,997,0,79,889,841,893,855,429,634,0.429429429429429,0,0.429429429429429,0.429429429429429,0.985985985985986,0.985985985985986,0.985985985985986,0.985985985985986,0.845845845845846,0.845845845845846,0.985985985985986,0.997997997997998,0.985985985985986,0.997997997997998,0,0.0790790790790791,0.88988988988989,0.841841841841842,0.893893893893894,0.855855855855856,0.429429429429429,0.634634634634635,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,11,NA,NA,"Highly Sig","Very Highly Sig","Highly Sig","Not Sig","Highly Sig","Not Sig","Not Sig","Not Sig",0.362681744749596
"370000:6490000",370000,6490000,0.00276509525010401,309,0.854414432282139,0.854414432282139,40.294151,0.515805202198686,0.00166927249902487,0.130401783171521,0.0738311255471107,0.000945111826314047,2.06655935379279,1.15322301304584,20.7959687067852,5.35368368000016,0.249596122778675,0.447272727272727,1.36941558659256,1.09506235523472,0.0199167943024804,0.00640927948128946,0.000690157053539692,0.000863066675423676,"'370000:6490000'",370000,6490000,25,0,25,25,633,633,633,633,632,632,633,956,633,939,0,1,929,821,901,815,25,150,0.025025025025025,0,0.025025025025025,0.025025025025025,0.633633633633634,0.633633633633634,0.633633633633634,0.633633633633634,0.632632632632633,0.632632632632633,0.633633633633634,0.956956956956957,0.633633633633634,0.93993993993994,0,0.001001001001001,0.92992992992993,0.821821821821822,0.901901901901902,0.815815815815816,0.025025025025025,0.15015015015015,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.249596122778675
"370000:6510000",370000,6510000,0.00332976188527019,339,1.12878927910659,1.12878927910659,40.616712,0.519934303760508,0.00153372950961802,0.119813309734513,0.0863400468437046,0.00110523845805961,1.89875713290711,1.08410901584436,19.225502299677,3.15118832444459,0.273828756058158,0.47959595959596,1.21217062954457,1.06342366773893,0.0151124121037473,0.00514940809547924,0.000911784555013403,0.0010393209137517,"'370000:6510000'",370000,6510000,343,0,343,343,148,148,148,148,810,810,148,409,148,385,0,27,862,760,870,769,343,638,0.343343343343343,0,0.343343343343343,0.343343343343343,0.148148148148148,0.148148148148148,0.148148148148148,0.148148148148148,0.810810810810811,0.810810810810811,0.148148148148148,0.409409409409409,0.148148148148148,0.385385385385385,0,0.027027027027027,0.862862862862863,0.760760760760761,0.870870870870871,0.76976976976977,0.343343343343343,0.638638638638639,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,3,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.273828756058158
"370000:6530000",370000,6530000,0.0021225904430038,312,0.662248218217185,0.662248218217185,39.263722,0.502614686317202,0.00161094450742693,0.125845262820513,0.0605622563990281,0.000775257106360408,1.99434930019454,1.1176741676865,19.5762369660744,4.13387545333347,0.252019386106624,0.44969696969697,1.44925765184834,1.06438214791175,0.0187737888192373,0.0036632784164985,0.000534933940401603,0.000728363499783809,"'370000:6530000'",370000,6530000,0,0,0,0,247,247,247,247,9,9,247,751,247,706,0,1,967,716,899,675,0,0,0,0,0,0,0.247247247247247,0.247247247247247,0.247247247247247,0.247247247247247,0.00900900900900901,0.00900900900900901,0.247247247247247,0.751751751751752,0.247247247247247,0.706706706706707,0,0.001001001001001,0.967967967967968,0.716716716716717,0.8998998998999,0.675675675675676,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Not Sig","Not Sig","Not Sig","Very Sig Low","Not Sig","Not Sig","Not Sig","Not Sig",0.252019386106624
"370000:6550000",370000,6550000,0.00238716414473672,152,0.362848949999981,0.362848949999981,26.467954,0.33881613152131,0.00222905349685072,0.17413127631579,0.0416925913635793,0.000533706629492658,2.7595682291012,1.18609607569341,16.8766151373183,4.1527684577779,0.122778675282714,0.285656565656566,1.82094727657871,1.17091717826103,0.0187964911305657,0.00608581051038665,0.000293092851373167,0.000455802203094572,"'370000:6550000'",370000,6550000,206,0,206,206,208,208,208,208,709,709,208,668,208,588,0,3,899,841,864,830,206,257,0.206206206206206,0,0.206206206206206,0.206206206206206,0.208208208208208,0.208208208208208,0.208208208208208,0.208208208208208,0.70970970970971,0.70970970970971,0.208208208208208,0.668668668668669,0.208208208208208,0.588588588588589,0,0.003003003003003,0.8998998998999,0.841841841841842,0.864864864864865,0.830830830830831,0.206206206206206,0.257257257257257,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,NA,999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999,NA,NA,NA,"Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig","Not Sig",0.122778675282714
