x
Acanthis flammea
Accipiter gentilis
Accipiter nisus
Acrocephalus palustris
Acrocephalus schoenobaenus
Acrocephalus scirpaceus
Actitis hypoleucos
Aegithalos caudatus
Aegolius funereus
Alauda arvensis
Alca torda
Alcedo atthis
Alle alle
Anas acuta
Anas crecca
Anas platyrhynchos
Anser albifrons
Anser anser
Anser erythropus
Anser fabalis
Anthus cervinus
Anthus petrosus
Anthus pratensis
Anthus trivialis
Apus apus
Aquila chrysaetos
Ardea cinerea
Ardenna gravis
Ardenna grisea
Arenaria interpres
Asio flammeus
Asio otus
Aythya ferina
Aythya fuligula
Aythya marila
Bombycilla garrulus
Bonasa bonasia
Branta canadensis
Branta leucopsis
Bubo bubo
Bubo scandiacus
Bucephala clangula
Buteo buteo
Buteo lagopus
Calcarius lapponicus
Calidris alpina
Calidris canutus
Calidris falcinellus
Calidris maritima
Calidris minuta
Calidris minutilla
Calidris pugnax
Calidris temminckii
Caprimulgus europaeus
Carduelis carduelis
Carpodacus erythrinus
Catharacta skua
Cepphus grylle
Certhia familiaris
Charadrius dubius
Charadrius hiaticula
Chloris chloris
Cinclus cinclus
Circus cyaneus
Clangula hyemalis
Coccothraustes coccothraustes
Columba livia
Columba oenas
Columba palumbus
Corvus corax
Corvus corone
Corvus frugilegus
Corvus monedula
Coturnix coturnix
Crex crex
Cuculus canorus
Cyanecula svecica
Cyanistes caeruleus
Cygnus columbianus
Cygnus cygnus
Cygnus olor
Delichon urbicum
Dendrocopos leucotos
Dendrocopos major
Dryobates minor
Dryocopus martius
Emberiza citrinella
Emberiza hortulana
Emberiza pusilla
Emberiza rustica
Emberiza schoeniclus
Eremophila alpestris
Erithacus rubecula
Eudromias morinellus
Falco columbarius
Falco peregrinus
Falco rusticolus
Falco subbuteo
Falco tinnunculus
Ficedula hypoleuca
Fratercula arctica
Fringilla coelebs
Fringilla montifringilla
Fulica atra
Fulmarus glacialis
Gallinago gallinago
Gallinago media
Gallinula chloropus
Garrulus glandarius
Gavia adamsii
Gavia arctica
Gavia immer
Gavia stellata
Glaucidium passerinum
Grus grus
Haematopus ostralegus
Haliaeetus albicilla
Hippolais icterina
Hirundo rustica
Hydrobates leucorhous
Hydrobates pelagicus
Hydrocoloeus minutus
Jynx torquilla
Lagopus lagopus
Lagopus muta
Lanius collurio
Lanius excubitor
Larus argentatus
Larus canus
Larus fuscus
Larus glaucoides
Larus hyperboreus
Larus marinus
Larus ridibundus
Limosa lapponica
Limosa limosa
Linaria cannabina
Linaria flavirostris
Locustella naevia
Lophophanes cristatus
Loxia curvirostra
Loxia pytyopsittacus
Lullula arborea
Luscinia luscinia
Lymnocryptes minimus
Lyrurus tetrix
Mareca penelope
Mareca strepera
Melanitta fusca
Melanitta nigra
Mergellus albellus
Mergus merganser
Mergus serrator
Morus bassanus
Motacilla alba
Motacilla cinerea
Motacilla flava
Muscicapa striata
Nucifraga caryocatactes
Numenius arquata
Numenius phaeopus
Oenanthe oenanthe
Pagophila eburnea
Pandion haliaetus
Panurus biarmicus
Parus major
Passer domesticus
Passer montanus
Perdix perdix
Periparus ater
Perisoreus infaustus
Pernis apivorus
Phalacrocorax aristotelis
Phalacrocorax carbo
Phalaropus lobatus
Phasianus colchicus
Phoenicurus ochruros
Phoenicurus phoenicurus
Phylloscopus borealis
Phylloscopus collybita
Phylloscopus sibilatrix
Phylloscopus trochilus
Pica pica
Picoides tridactylus
Picus canus
Picus viridis
Pinguinus impennis
Pinicola enucleator
Plectrophenax nivalis
Pluvialis apricaria
Pluvialis squatarola
Podiceps auritus
Podiceps cristatus
Podiceps grisegena
Poecile cinctus
Poecile montanus
Poecile palustris
Polysticta stelleri
Porzana porzana
Prunella modularis
Puffinus mauretanicus
Puffinus puffinus
Pyrrhula pyrrhula
Rallus aquaticus
Recurvirostra avosetta
Regulus regulus
Riparia riparia
Rissa tridactyla
Saxicola rubetra
Saxicola torquatus
Scolopax rusticola
Sitta europaea
Somateria mollissima
Somateria spectabilis
Spatula clypeata
Spatula querquedula
Spinus spinus
Stercorarius longicaudus
Stercorarius parasiticus
Stercorarius pomarinus
Sterna hirundo
Sterna paradisaea
Streptopelia decaocto
Strix aluco
Strix uralensis
Sturnus vulgaris
Surnia ulula
Sylvia atricapilla
Sylvia borin
Sylvia communis
Sylvia curruca
Sylvia nisoria
Tachybaptus ruficollis
Tadorna tadorna
Tetrao urogallus
Tringa erythropus
Tringa glareola
Tringa nebularia
Tringa ochropus
Tringa totanus
Troglodytes troglodytes
Turdus iliacus
Turdus merula
Turdus philomelos
Turdus pilaris
Turdus torquatus
Turdus viscivorus
Uria aalge
Uria lomvia
Vanellus vanellus
Xema sabini
