Vitenskapelig_navn
Alces alces
Apodemus flavicollis
Apodemus sylvaticus
Arvicola amphibius
Barbastella barbastellus
Canis lupus
Capreolus capreolus
Castor fiber
Cervus elaphus
Eptesicus nilssonii
Erinaceus europaeus
Gulo gulo
Lemmus lemmus
Lepus timidus
Lutra lutra
Lynx lynx
Martes martes
Meles meles
Microtus agrestis
Microtus oeconomus
Mus musculus
Mustela erminea
Mustela nivalis
Mustela putorius
Myodes glareolus
Myodes rufocanus
Myodes rutilus
Myopus schisticolor
Myotis brandtii
Myotis daubentonii
Myotis mystacinus
Myotis nattereri
Neomys fodiens
Nyctalus noctula
Pipistrellus nathusii
Pipistrellus pygmaeus
Plecotus auritus
Rangifer tarandus
Rattus norvegicus
Sciurus vulgaris
Sicista betulina
Sorex araneus
Sorex caecutiens
Sorex minutissimus
Sorex minutus
Ursus arctos
Vespertilio murinus
Vulpes lagopus
Vulpes vulpes
